SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM1,10/02,4.37,PM,deer,1,0,1,
PM1,10/02,4.38,PM,deer,1,0,1,
PM1,10/02,4.38,PM,deer,1,0,1,"
"
PM1,10/02,4.41,PM,deer,1,0,1,
PM1,10/02,5.27,PM,deer,1,0,1,
PM1,10/02,5.28,PM,deer,1,0,1,
PM1,10/02,5.28,PM,deer,1,0,1,
PM1,10/02,5.29,PM,deer,1,0,1,
PM1,10/02,5.3,PM,deer,2,0,1,
PM1,10/02,5.31,PM,deer,2,0,1,
PM1,10/02,5.32,PM,deer,2,0,1,
PM1,10/02,5.32,PM,deer,2,0,1,
PM1,10/02,5.33,PM,deer,2,0,1,
PM1,10/02,5.33,PM,deer,2,0,1,
PM1,10/02,5.34,PM,deer,3,0,1,
PM1,10/02,5.36,PM,deer,3,0,1,
PM1,10/02,5.36,PM,deer,2,0,1,
PM1,10/02,5.37,PM,deer,2,0,1,
PM1,10/02,5.37,PM,deer,2,0,1,
PM1,10/02,5.38,PM,deer,2,0,1,
PM1,10/02,5.39,PM,deer,2,0,1,
PM1,10/02,5.39,PM,deer,1,0,1,
PM1,10/02,7.01,PM,deer,1,0,1,
PM1,10/02,7.06,PM,deer,1,0,1,
PM1,10/02,7.07,PM,deer,1,0,1,
PM1,10/02,7.13,PM,deer,1,0,1,
PM1,10/02,7.15,PM,deer,1,0,1,
PM1,10/02,7.2,PM,deer/racoon,1,0,1,
PM1,10/02,7.22,PM,deer/racoon,1,0,1,
PM1,10/02,7.23,PM,deer/racoon ,1,0,1,
PM1,10/02,7.24,PM,deer/racoon ,1,0,1,
PM1,10/02,7.26,PM,deer/racoon ,1,0,1,
PM1,10/02,11.13,PM,deer ,1,0,0,
PM1,10/02,11.17,PM,deer,1,0,0,
PM1,10/02,11.18,PM,deer,1,0,0,
PM1,10/02,11.19,PM,deer,1,0,0,
PM1,10/02,11.21,PM,deer,1,0,0,
PM1,10/02,11.23,PM,deer,1,0,0,
PM1,10/02,11.26,PM,deer,1,0,0,
PM1,10/02,11.27,PM,deer,1,0,0,
PM1,10/03,1.06,AM,deer,1,0,0,
PM1,10/03,1.07,AM,deer,1,0,0,
PM1,10/03,1.08,AM,deer,1,0,0,
PM1,10/03,1.09,AM,deer,1,0,0,
PM1,10/03,1.12,AM,deer,1,0,0,
PM1,10/03,1.14,AM,deer,1,0,0,
PM1,10/03,1.16,AM,deer,1,0,0,
PM1,10/03,6.5,AM,deer,2,0,1,
PM1,10/03,6.51,AM,deer,2,0,1,
PM1,10/03,6.52,AM,deer,2,0,1,
PM1,10/03,6.53,AM,deer,2,0,1,
PM1,10/03,6.54,AM,deer,2,0,1,
PM1,10/03,6.55,AM,deer,2,0,1,
PM1,10/03,6.56,AM,deer,2,0,1,
PM1,10/03,6.57,AM,deer,2,0,1,
PM1,10/03,6.59,AM,deer,2,0,1,
PM1,10/03,7,AM,deer,2,0,1,
PM1,10/03,7.01,AM,deer,3,0,1,
PM1,10/03,7.02,AM,deer,2,0,1,
PM1,10/03,7.03,AM,deer,1,0,0,
PM1,10/03,7.04,AM,deer,1,0,0,
PM1,10/03,7.06,AM,deer,1,0,0,
PM1,10/03,7.1,AM,deer,1,0,0,
PM1,10/03,7.28,AM,deer,1,0,0,
PM1,10/03,7.29,AM,deer,1,0,0,
PM1,10/03,7.3,AM,deer,1,0,0,
PM1,10/03,7.32,AM,deer,1,0,0,
PM1,10/03,7.33,AM,deer,1,0,0,
PM1,10/03,7.35,AM,deer,2,0,1,
PM1,10/03,7.35,AM,deer,2,0,1,
PM1,10/03,7.36,AM,deer,2,0,1,
PM1,10/03,7.37,AM,deer,2,0,1,
PM1,10/03,7.38,AM,deer,2,0,1,
PM1,10/03,7.39,AM,deer,2,0,1,
PM1,10/03,7.4,AM,deer,2,0,1,
PM1,10/03,7.41,AM,deer,2,0,1,
PM1,10/03,7.42,AM,deer,2,0,1,
PM1,10/03,7.42,AM,deer,3,0,2,
PM1,10/03,7.44,AM,deer,2,0,2,
PM1,10/03,7.46,AM,deer,2,0,2,
PM1,10/03,7.47,AM,deer,2,0,2,
PM1,10/03,7.48,AM,deer,1,0,1,
PM1,10/03,8.06,AM,deer,1,0,0,
PM1,10/03,10.06,AM,deer,1,0,1,
PM1,10/03,10.07,AM,deer,1,0,1,
PM1,10/03,10.08,AM,deer,1,0,1,
PM1,10/03,10.09,AM,deer,1,0,1,
PM1,10/03,10.1,AM,deer,1,0,1,
PM1,10/03,10.11,AM,deer,1,0,1,
PM1,10/03,10.12,AM,deer,1,0,1,
PM1,10/03,10.13,AM,deer,1,0,1,
PM1,10/03,4.12,PM,deer,1,0,1,
PM1,10/03,4.17,PM,deer,1,0,1,
PM1,10/03,4.18,PM,deer,1,0,1,
PM1,10/03,4.19,PM,deer,1,0,1,
PM1,10/03,4.21,PM,deer,1,0,1,
PM1,10/03,5.21,PM,deer,1,0,0,
PM1,10/03,5.22,PM,deer,1,0,0,
PM1,10/03,5.23,PM,deer,1,0,0,
PM1,10/03,5.24,PM,deer,2,0,1,
PM1,10/03,5.25,PM,deer,2,0,1,
PM1,10/03,5.26,PM,deer,2,0,1,
PM1,10/03,5.27,PM,deer,3,0,2,
PM1,10/03,5.28,PM,deer,3,0,2,
PM1,10/03,5.29,PM,deer,3,0,2,
PM1,10/03,5.3,PM,deer,2,0,2,
PM1,10/03,5.31,PM,deer,2,0,2,
PM1,10/03,5.32,PM,deer,2,0,2,
PM1,10/03,5.33,PM,deer,2,0,2,
PM1,10/03,5.34,PM,deer,1,0,1,
PM1,10/03,6.07,PM,deer,1,0,1,
PM1,10/03,6.08,PM,deer,1,0,1,
PM1,10/03,6.09,PM,deer,1,0,1,
PM1,10/03,6.1,PM,deer,1,0,1,
PM1,10/03,6.14,PM,deer,1,0,1,
PM1,10/03,6.16,PM,deer,1,0,1,
PM1,10/03,6.19,PM,racoon ,3,,,
PM1,10/04,7.19,AM,deer,1,0,1,
PM1,10/04,7.2,AM,deer,2,0,1,
PM1,10/04,7.22,AM,deer,2,0,1,
PM1,10/04,7.23,AM,deer,2,0,1,
PM1,10/04,7.24,AM,deer,2,0,1,
PM1,10/04,7.25,AM,deer,2,0,1,
PM1,10/04,7.26,AM,deer,1,0,0,
PM1,10/04,7.27,AM,deer,2,0,1,
PM1,10/04,7.28,AM,deer,4,0,2,
PM1,10/04,7.29,AM,deer,3,0,2,
PM1,10/04,7.3,AM,deer,3,0,2,
PM1,10/04,7.31,AM,deer,3,0,2,
PM1,10/04,7.32,AM,deer,3,0,2,
PM1,10/04,7.33,AM,deer,3,0,2,
PM1,10/04,7.34,AM,deer,3,0,2,
PM1,10/04,7.35,AM,deer,3,0,2,
PM1,10/04,7.36,AM,deer,3,0,2,
PM1,10/04,7.37,AM,deer,3,0,2,
PM1,10/04,7.38,AM,deer,3,0,2,
PM1,10/04,7.39,AM,deer,3,0,2,
PM1,10/04,7.4,AM,deer,3,0,2,
PM1,10/04,7.41,AM,deer,3,0,2,
PM1,10/04,7.42,AM,deer,4,0,2,
PM1,10/04,7.43,AM,deer,2,0,2,
PM1,10/04,7.44,AM,deer,1,0,0,
PM1,10/04,7.45,AM,deer,1,0,0,
PM1,10/04,7.46,AM,deer,1,0,0,
PM1,10/04,7.47,AM,deer,1,0,0,
PM1,10/04,7.48,AM,deer,1,0,0,
PM1,10/04,7.49,AM,deer,1,0,0,
PM1,10/04,7.5,AM,deer,1,0,0,
PM1,10/04,7.51,AM,deer,1,0,0,
PM1,10/04,7.52,AM,deer,1,0,0,
PM1,10/04,7.53,AM,deer,1,0,0,
PM1,10/04,5.05,PM,deer,1,0,1,
PM1,10/04,5.06,PM,deer,1,0,1,
PM1,10/04,5.07,PM,deer,1,0,1,
PM1,10/04,5.08,PM,deer,1,0,1,
PM1,10/04,5.09,PM,deer,1,0,1,
PM1,10/04,5.1,PM,deer,1,0,1,
PM1,10/04,5.18,PM,deer,1,0,1,
PM1,10/04,5.21,PM,deer,1,0,1,
PM1,10/04,5.22,PM,deer,2,0,1,
PM1,10/04,5.23,PM,deer,2,0,0,
PM1,10/04,5.24,PM,deer,2,0,0,
PM1,10/04,5.25,PM,deer,2,0,0,
PM1,10/04,5.26,PM,deer,2,0,0,
PM1,10/05,4.53,AM,deer,2,0,1,
PM1,10/05,4.54,AM,deer,2,0,1,
PM1,10/05,4.55,AM,deer,2,0,1,
PM1,10/05,4.56,AM,deer,2,0,1,
PM1,10/05,4.57,AM,deer,2,0,1,
PM1,10/05,4.58,AM,deer,2,0,1,
PM1,10/05,4.59,AM,deer,2,0,1,
PM1,10/05,5,AM,deer,2,0,1,
PM1,10/05,5.01,AM,deer,2,0,1,
PM1,10/05,5.02,AM,deer,2,0,1,
PM1,10/05,5.03,AM,deer,2,0,1,
PM1,10/05,5.04,AM,deer,2,0,1,
PM1,10/05,5.05,AM,deer,2,0,1,
PM1,10/05,5.06,AM,deer,2,0,1,
PM1,10/05,5.07,AM,deer,2,0,1,
PM1,10/05,5.08,AM,deer,2,0,1,
PM1,10/05,5.1,AM,deer,2,0,1,
PM1,10/05,5.11,AM,deer,1,0,0,
PM1,10/05,5.12,AM,deer,1,0,0,
PM1,10/05,5.22,AM,deer,1,0,1,
PM1,10/05,5.24,AM,deer,1,0,1,
PM1,10/05,5.26,AM,deer,1,0,1,
PM1,10/05,5.28,AM,deer,1,0,1,
PM1,10/05,5.29,AM,deer,1,0,1,
PM1,10/05,5.3,AM,deer,1,0,1,
PM1,10/05,5.32,AM,deer,1,0,1,
PM1,10/05,5.33,AM,deer,1,0,1,
PM1,10/05,5.35,AM,deer,1,0,1,
PM1,10/05,5.36,AM,deer,1,0,1,
PM1,10/05,5.38,AM,deer,1,0,1,
PM1,10/05,6.59,AM,deer,1,0,1,
PM1,10/05,7,AM,deer,3,0,2,
PM1,10/05,7.01,AM,deer,3,0,2,
PM1,10/05,7.02,AM,deer,2,0,1,
PM1,10/05,7.03,AM,deer,2,0,1,
PM1,10/05,7.04,AM,deer,1,0,0,
PM1,10/05,7.05,AM,deer,1,0,0,
PM1,10/05,7.06,AM,deer,1,0,0,
PM1,10/05,7.08,AM,deer,1,0,0,
PM1,10/05,7.1,AM,deer,1,0,0,
PM1,10/05,7.11,AM,deer,1,0,0,
PM1,10/05,7.12,AM,deer,1,0,0,
PM1,10/05,7.14,AM,deer,1,0,0,
PM1,10/05,7.15,AM,deer,1,0,0,
PM1,10/05,7.18,AM,deer,1,0,0,
PM1,10/05,7.19,AM,deer,2,0,1,
PM1,10/05,7.2,AM,deer,2,0,1,
PM1,10/05,7.21,AM,deer,2,0,1,
PM1,10/05,7.22,AM,deer,2,0,1,
PM1,10/05,7.24,AM,deer,2,0,1,
PM1,10/05,7.25,AM,deer,2,0,1,
PM1,10/05,7.26,AM,deer,2,0,1,
PM1,10/05,7.27,AM,deer,1,0,0,"
"
PM1,10/05,7.28,AM,deer,1,0,0,
PM1,10/05,7.31,AM,deer,1,0,0,
PM1,10/05,7.32,AM,deer,1,0,0,
PM1,10/05,7.33,AM,deer,1,0,0,
PM1,10/05,7.35,AM,deer,1,0,0,
PM1,10/05,7.36,AM,deer,1,0,0,
PM1,10/05,5.47,PM,deer,2,0,1,
PM1,10/05,5.47,PM,deer,3,0,2,
PM1,10/05,5.48,PM,deer,3,0,2,
PM1,10/05,5.49,PM,deer,4,0,3,
PM1,10/05,5.5,PM,deer,1,0,1,
PM1,10/05,5.51,PM,deer,2,0,2,
PM1,10/05,5.52,PM,deer,3,0,2,
PM1,10/05,5.53,PM,deer,4,0,2,
PM1,10/05,5.53,PM,deer,4,0,2,
PM1,10/05,5.54,PM,deer,4,0,2,
PM1,10/05,5.55,PM,deer,4,0,2,
PM1,10/05,5.55,PM,deer,3,0,2,
PM1,10/05,5.56,PM,deer,2,0,1,
PM1,10/05,5.57,PM,deer,2,0,1,
PM1,10/05,5.58,PM,deer,3,0,1,
PM1,10/05,5.59,PM,deer,3,0,1,
PM1,10/05,6,PM,deer,2,0,1,
PM1,10/05,6.03,PM,deer,1,0,1,
PM1,10/05,6.04,PM,deer,2,0,2,
PM1,10/05,6.05,PM,deer,1,0,1,
