"","SITE","DATE","TIME","AMPM","SPECIES","COUNT","ANTLERED","YOUNG","DATE_TIME"
"1","PM21",2016-08-23,"7:19","PM","deer",2,0,0,2016-08-23 19:19:00
"2","PM21",2016-08-25,"4:35","PM","deer",1,0,0,2016-08-25 16:35:00
"3","PM21",2016-08-26,"9:06","AM","deer",1,1,0,2016-08-26 09:06:00
"4","PM21",2016-08-26,"9:06","AM","deer",1,1,0,2016-08-26 09:06:00
"5","PM21",2016-08-26,"6:27","PM","deer",1,0,1,2016-08-26 18:27:00
"7","PM21",2016-08-30,"5:12","PM","deer",1,0,0,2016-08-30 17:12:00
"8","PM21",2016-08-30,"5:13","PM","deer",1,0,0,2016-08-30 17:13:00
"9","PM21",2016-08-30,"5:14","PM","deer",2,0,0,2016-08-30 17:14:00
"10","PM21",2016-09-07,"1:19","AM","deer",1,0,0,2016-09-07 01:19:00
"11","PM21",2016-09-07,"6:56","PM","deer",1,0,0,2016-09-07 18:56:00
"12","PM21",2016-09-07,"7:05","PM","deer",1,0,0,2016-09-07 19:05:00
"14","PM21",2016-09-12,"3:52","PM","deer",1,0,0,2016-09-12 15:52:00
"15","PM21",2016-09-12,"3:53","PM","deer",2,0,1,2016-09-12 15:53:00
"16","PM21",2016-09-12,"3:53","PM","deer",1,0,0,2016-09-12 15:53:00
"18","PM21",2016-09-13,"7:30","AM","deer",1,0,0,2016-09-13 07:30:00
"21","PM21",2016-09-16,"6:02","PM","deer",1,0,1,2016-09-16 18:02:00
"23","PM21",2016-09-17,"8:21","AM","deer",2,0,0,2016-09-17 08:21:00
"24","PM21",2016-09-17,"5:09","PM","deer",1,1,0,2016-09-17 17:09:00
"25","PM21",2016-09-17,"5:09","PM","deer",1,1,0,2016-09-17 17:09:00
"26","PM21",2016-09-19,"7:36","PM","deer",1,1,0,2016-09-19 19:36:00
"27","PM21",2016-09-20,"2:13","PM","deer",2,0,0,2016-09-20 14:13:00
"28","PM21",2016-09-20,"2:14","PM","deer",1,0,0,2016-09-20 14:14:00
"31","PM21",2016-09-22,"7:23","PM","deer",1,1,0,2016-09-22 19:23:00
"32","PM21",2016-09-22,"7:30","PM","deer",2,0,1,2016-09-22 19:30:00
"34","PM21",2016-09-27,"7:43","AM","deer",1,1,0,2016-09-27 07:43:00
"35","PM21",2016-09-27,"7:48","AM","deer",1,1,0,2016-09-27 07:48:00
"36","PM21",2016-09-27,"7:48","AM","deer",2,0,0,2016-09-27 07:48:00
"37","PM21",2016-08-11,"7:14","AM","deer",1,0,0,2016-08-11 07:14:00
"38","PM21",2016-08-11,"7:15","AM","deer",1,0,0,2016-08-11 07:15:00
"39","PM21",2016-08-11,"6:00","PM","deer",3,0,3,2016-08-11 18:00:00
"40","PM21",2016-08-11,"6:01","PM","deer",2,0,2,2016-08-11 18:01:00
"41","PM21",2016-08-18,"2:02","AM","deer",1,1,0,2016-08-18 02:02:00
"42","PM21",2016-08-19,"4:40","AM","deer",1,0,0,2016-08-19 04:40:00
"43","PM21",2016-08-21,"6:42","PM","deer",1,0,0,2016-08-21 18:42:00
"44","PM21",2016-07-06,"10:19","PM","deer",1,1,0,2016-07-06 22:19:00
"45","PM21",2016-07-31,"7:15","PM","deer",3,0,3,2016-07-31 19:15:00
"47","PM21",2016-08-02,"8:27","AM","deer",1,0,0,2016-08-02 08:27:00
"48","PM21",2016-08-02,"8:28","AM","deer",1,0,0,2016-08-02 08:28:00
"49","PM21",2016-08-02,"8:28","AM","deer",1,0,0,2016-08-02 08:28:00
"50","PM21",2016-06-08,"6:20","PM","deer",1,1,0,2016-06-08 18:20:00
"51","PM21",2016-06-08,"6:20","PM","deer",1,1,0,2016-06-08 18:20:00
"52","PM21",2016-06-08,"6:21","PM","deer",1,1,0,2016-06-08 18:21:00
"56","PM21",2016-06-15,"6:37","PM","deer",1,0,0,2016-06-15 18:37:00
"57","PM21",2016-06-17,"8:23","AM","deer",2,0,1,2016-06-17 08:23:00
"58","PM21",2016-06-17,"8:26","AM","deer",2,0,1,2016-06-17 08:26:00
"63","PM21",2016-07-03,"9:08","PM","deer",2,2,0,2016-07-03 21:08:00
"65","PM1",2016-06-18,"6:34","PM","deer",1,0,0,2016-06-18 18:34:00
"66","PM1",2016-06-18,"6:35","PM","deer",1,0,0,2016-06-18 18:35:00
"67","PM1",2016-06-18,"6:35","PM","deer",1,0,0,2016-06-18 18:35:00
"68","PM1",2016-06-27,"2:22","PM","deer",1,0,0,2016-06-27 14:22:00
"69","PM1",2016-06-28,"4:13","AM","deer",1,0,0,2016-06-28 04:13:00
"70","PM1",2016-06-29,"9:37","PM","deer",1,0,0,2016-06-29 21:37:00
"71","PM1",2016-08-27,"6:43","AM","deer",1,0,0,2016-08-27 06:43:00
"72","PM1",2016-08-27,"5:08","PM","deer",1,0,0,2016-08-27 17:08:00
"73","PM1",2016-09-02,"8:30","AM","deer",1,0,0,2016-09-02 08:30:00
"74","PM1",2016-09-02,"4:57","PM","deer",2,2,0,2016-09-02 16:57:00
"75","PM1",2016-09-25,"9:41","AM","deer",1,0,0,2016-09-25 09:41:00
"76","PM1",2016-09-26,"11:21","AM","deer",2,0,0,2016-09-26 11:21:00
"77","PM1",2016-09-26,"11:21","AM","deer",1,0,0,2016-09-26 11:21:00
"78","PM1",2016-09-26,"11:22","AM","deer",1,0,0,2016-09-26 11:22:00
"79","PM1",2016-09-26,"11:23","AM","deer",1,0,0,2016-09-26 11:23:00
"80","PM1",2016-08-23,"10:40","AM","deer",2,0,1,2016-08-23 10:40:00
"81","PM1",2016-08-23,"10:40","AM","deer",2,0,1,2016-08-23 10:40:00
"82","PM1",2016-08-23,"10:43","AM","deer",2,0,1,2016-08-23 10:43:00
"83","PM1",2016-08-23,"10:43","AM","deer",2,0,1,2016-08-23 10:43:00
"84","PM1",2016-08-23,"10:44","AM","deer",2,0,1,2016-08-23 10:44:00
"85","PM1",2016-08-23,"10:45","AM","deer",1,0,1,2016-08-23 10:45:00
"86","PM1",2016-08-23,"10:33","AM","deer",1,0,1,2016-08-23 10:33:00
"87","PM1",2016-08-23,"10:39","AM","deer",2,0,1,2016-08-23 10:39:00
"88","PM1",2016-09-26,"5:51","PM","deer",1,0,1,2016-09-26 17:51:00
"89","PM1",2016-09-26,"5:52","PM","deer",2,0,1,2016-09-26 17:52:00
"90","PM1",2016-09-26,"11:50","PM","deer",1,0,0,2016-09-26 23:50:00
"91","PM1",2016-09-26,"11:52","PM","deer",1,0,0,2016-09-26 23:52:00
"92","PM1",2016-09-26,"11:53","PM","deer",1,0,0,2016-09-26 23:53:00
"93","PM1",2016-09-26,"11:55","PM","deer",1,0,0,2016-09-26 23:55:00
"94","PM1",2016-09-26,"11:56","PM","deer",1,0,0,2016-09-26 23:56:00
"95","PM1",2016-09-26,"11:57","PM","deer",1,0,0,2016-09-26 23:57:00
"96","PM1",2016-09-26,"12:04","PM","deer",1,0,0,2016-09-26 12:04:00
"97","PM1",2016-09-27,"6:02","PM","deer",1,0,0,2016-09-27 18:02:00
"98","PM1",2016-09-27,"6:03","PM","deer",2,0,1,2016-09-27 18:03:00
"99","PM1",2016-09-27,"6:03","PM","deer",1,0,0,2016-09-27 18:03:00
"100","PM1",2016-09-28,"2:48","PM","deer",1,0,0,2016-09-28 14:48:00
"101","PM1",2016-09-28,"2:50","PM","deer",1,0,0,2016-09-28 14:50:00
"102","PM1",2016-09-28,"2:53","PM","deer",2,0,0,2016-09-28 14:53:00
"103","PM1",2016-09-28,"2:54","PM","deer",2,0,0,2016-09-28 14:54:00
"104","PM1",2016-09-28,"2:56","PM","deer",1,0,0,2016-09-28 14:56:00
"105","PM1",2016-09-28,"2:57","PM","deer",1,0,0,2016-09-28 14:57:00
"106","PM1",2016-09-28,"2:58","PM","deer",2,0,0,2016-09-28 14:58:00
"107","PM1",2016-09-28,"2:59","PM","deer",2,0,0,2016-09-28 14:59:00
"108","PM1",2016-09-28,"3:00","PM","deer",1,0,0,2016-09-28 15:00:00
"109","PM1",2016-09-28,"3:00","PM","deer",1,0,0,2016-09-28 15:00:00
"110","PM1",2016-09-28,"3:01","PM","deer",1,0,0,2016-09-28 15:01:00
"111","PM1",2016-09-29,"8:38","AM","deer",1,0,0,2016-09-29 08:38:00
"112","PM1",2016-09-29,"8:39","AM","deer",1,0,0,2016-09-29 08:39:00
"113","PM1",2016-09-29,"8:42","AM","deer",2,0,0,2016-09-29 08:42:00
